regulator 	 regulated 	 sign
phob	phno	+	strong
soxs	riba	+	strong
rcsb	rpoe	+	strong
crp	lsrf	+	strong
uxur	uxua	-	strong
dcur	dcub	+	strong
gadx	muri	-	strong
soxs	rimk	+	strong
mara	ybjc	+	strong
narl	ydhy	-	strong
nhar	pgac	+	strong
fis	mazf	+	strong
chbr	chbg	-	strong
ihf	aceb	+	strong
ntrc	rsec	+	strong
cpxr	cpxa	+	strong
mlra	cadc	+	strong
cecr	ybhf	-	strong
cpxr	mdtc	+	strong
leuo	yjjq	+	strong
arca	hyac	+	strong
lrp	rrfc	-	strong
iscr	napc	-	strong
tyrr	fola	+	strong
rcsab	flhc	-	strong
crp	glpe	+	strong
fhla	hycd	+	strong
narp	nrfe	+	strong
mpra	emra	-	strong
oxyr	sufc	+	strong
glpr	glpc	-	strong
ompr	csgf	+	strong
glpr	glpa	-	strong
fur	crl	-	strong
blur	ymgc	-	strong
h-ns	cydb	-	strong
gade-rcsb	cada	+	strong
ihf	ilvm	+	strong
ihf	hycf	+	strong
ihf	sgbu	+	strong
purr	pura	-	strong
mode	ccmf	+	strong
h-ns	nirb	-	strong
fadr	iclr	+	strong
ihf	sgbh	+	strong
h-ns	rrlb	-	strong
mara	acna	+	strong
trpr	trpl	-	strong
ihf	glpt	-	strong
ydeo	dctr	+	strong
ntrc	rsea	+	strong
narl	nrfg	-	strong
h-ns	nrda	-	strong
mode	ccma	+	strong
dan	ttdb	+	strong
metj	metr	-	strong
blur	arir	-	strong
dnaa	nrdb	+	strong
ihf	sufc	+	strong
csgd	flie	-	strong
arca	sucd	-	strong
cusr	cusr	+	strong
mode	deoc	-	strong
cra	pck	+	strong
cbl	ssua	+	strong
fnr	cysg	+	strong
cpxr	mdtb	+	strong
fur	fhud	-	strong
gade-rcsb	cadb	+	strong
oxyr	grxa	+	strong
fis	quea	+	strong
cpxr	mdtd	+	strong
cynr	cynx	+	strong
h-ns	gspa	-	strong
crp	flhc	+	strong
flhdc	gltk	+	strong
flhdc	flgh	+	strong
ihf	hycd	+	strong
ihf	nuom	-	strong
murr	murq	-	strong
narp	nrfd	+	strong
iscr	sufa	+	strong
ihf	ihfb	-	strong
crp	yian	+	strong
pgrr	ycjy	-	strong
fnr	hema	-	strong
zur	znub	-	strong
zur	znua	-	strong
fis	yoag	-	strong
h-ns	bglg	-	strong
qseb	qsec	+	strong
ihf	fis	+	strong
fhla	fhla	+	strong
ompr	dtpa	+	strong
h-ns	evga	-	strong
fnr	narj	+	strong
fis	nuof	+	strong
agar	kbaz	-	strong
iscr	ydiu	+	strong
fis	marb	+	strong
cpxr	yqja	+	strong
crp	deod	+	strong
metr	mete	+	strong
paax	paax	-	strong
crp	agaw	+	strong
fis	prop	+	strong
dica	ydfw	-	strong
fliz	gadb	-	strong
ntrc	glnp	+	strong
pdhr	cyob	-	strong
mode	moae	+	strong
arac	arac	+	strong
iclr	acea	-	strong
h-ns	case	-	strong
rsta	csge	-	strong
lsrr	lsrg	-	strong
iscr	napb	-	strong
rsta	csgg	-	strong
fis	rrle	+	strong
trpr	arol	-	strong
sgrr	seta	+	strong
gals	gale	-	strong
crp	rpoe	+	strong
flhdc	flgj	+	strong
ihf	paad	+	strong
soxs	fpr	+	strong
phob	eda	-	strong
yqhc	dkga	+	strong
fliz	csge	-	strong
dpia	mdh	+	strong
leuo	case	+	strong
dinj-yafq	yafq	-	strong
tyrr	tyrb	-	strong
nrdr	nrdh	-	strong
oxyr	hcp	+	strong
lrp	gabp	+	strong
soxs	rob	-	strong
lrp	lhgo	+	strong
fnr	ydhx	+	strong
leuo	bglj	+	strong
rcda	csgg	+	strong
fis	rrfb	+	strong
rob	marb	+	strong
ihf	nrfa	-	strong
flhdc	flig	+	strong
fis	nuoe	+	strong
cysb	taua	+	strong
fis	yfae	+	strong
fnr	nirc	+	strong
rcsb	rsec	+	strong
gadw	gadx	-	strong
soxs	inaa	+	strong
crp	glgc	+	strong
phob	phnf	+	strong
cpxr	mzra	+	strong
fliz	gadc	-	strong
mode	moab	+	strong
cusr	cusf	+	strong
mode	naph	+	strong
phob	ugpe	+	strong
crp	secb	+	strong
soxs	soxs	-	strong
fur	fhua	-	strong
crp	maze	+	strong
fadr	srod	-	strong
iscr	napf	-	strong
fis	maze	+	strong
ompr	pgad	-	strong
caif	fixb	+	strong
kdpe	kdpb	+	strong
oxyr	ychf	-	strong
fis	crp	-	strong
agar	agac	-	strong
h-ns	leuo	-	strong
fliz	gade	-	strong
puur	puue	-	strong
pgrr	tyrr	-	strong
ihf	glnq	+	strong
fis	nuog	+	strong
crp	trub	-	strong
fur	fhuc	-	strong
mode	ccmc	+	strong
crp	comr	-	strong
mode	napd	+	strong
phop	yhid	+	strong
fis	gltv	+	strong
cpxr	mdta	+	strong
ihf	paaf	+	strong
h-ns	fimd	+	strong
ntrc	rseb	+	strong
zntr	znta	+	strong
phob	phnn	+	strong
fur	gark	-	strong
phob	ugpc	+	strong
fnr	ydhw	+	strong
phob	cusr	+	strong
ihf	prow	+	strong
mode	napf	+	strong
phop	gadw	+	strong
cra	aceb	+	strong
ihf	ssue	+	strong
lrp	oppf	-	strong
ydeo	appc	+	strong
phob	phob	+	strong
xylr	xylf	+	strong
oxyr	ahpc	+	strong
ihf	nrfe	-	strong
fur	pyrc	-	strong
ular	ulag	-	strong
cusr	cuss	+	strong
evga	mdtf	+	strong
ihf	acek	+	strong
phob	phnk	+	strong
ihf	paag	+	strong
flhdc	flif	+	strong
leuo	bglb	+	strong
lrp	osmc	+	strong
fhla	hycb	+	strong
crp	prop	+	strong
gade	mdte	+	strong
caif	cait	+	strong
crp	gcvt	+	strong
crp	ugpb	+	strong
fis	nrdb	+	strong
cynr	cyns	+	strong
crp	infb	-	strong
mode	moac	+	strong
h-ns	fimc	+	strong
crp	yhch	+	strong
phob	phnc	+	strong
ihf	nrfb	-	strong
ada	alkb	-	strong
fhla	hych	+	strong
mata	flia	-	strong
crp	araf	+	strong
pspf	pspg	+	strong
atoc	atod	+	strong
fis	fau	+	strong
agar	agab	-	strong
h-ns	lacy	-	strong
glrr	rsec	+	strong
iscr	hyad	-	strong
narl	aspa	-	strong
cra	mtla	-	strong
cpxr	motb	-	strong
arca	hyad	+	strong
lrp	gltt	-	strong
sdia	ftsq	-	strong
ydeo	hyad	+	strong
h-ns	gspk	-	strong
cadc	cada	+	strong
cbl	ssud	+	strong
flhdc	flha	+	strong
mlra	obge	+	strong
cpxr	arog	+	strong
stpa	fau	-	strong
argp	dapd	+	strong
crp	mtlr	+	strong
narl	ydep	+	strong
narl	frdc	-	strong
h-ns	hdeb	-	strong
exur	exur	-	strong
phob	phnp	+	strong
h-ns	cas1	-	strong
gade-rcsb	adic	+	strong
arca	uvra	-	strong
crp	arad	+	strong
fnr	nird	+	strong
dcur	frdb	+	strong
crp	prpb	+	strong
fis	rrsb	+	strong
kdpe	kdpc	+	strong
oxyr	isrc	-	strong
ntrc	glnh	-	strong
crp	argg	+	strong
ihf	paab	+	strong
ypdb	yhjx	+	strong
nikr	nike	-	strong
flhdc	flip	+	strong
arca	pflb	+	strong
fis	nuoh	+	strong
trer	treb	-	strong
ular	ulad	-	strong
ihf	prox	+	strong
h-ns	yjjq	-	strong
crp	nusa	-	strong
crp	mtld	+	strong
ntrc	rela	+	strong
caif	fixx	+	strong
ihf	sufa	+	strong
flhdc	flgd	+	strong
cpxr	efeu_1	-	strong
blur	ycgz	-	strong
h-ns	gspo	-	strong
ihf	cysg	+	strong
fur	sufd	-	strong
fis	nrfa	-	strong
lexa	recx	-	strong
dan	ttda	+	strong
cytr	cytr	-	strong
cpxr	rpra	+	strong
cbl	ssuc	+	strong
narl	hcp	+	strong
rob	zwf	+	strong
mode	deod	-	strong
mara	hdea	-	strong
ihf	sufs	+	strong
mata	tcyj	-	strong
fnr	hlye	+	strong
h-ns	casb	-	strong
crp	hlye	+	strong
cysb	cysu	+	strong
h-ns	ycig	-	strong
ihf	yjbh	+	strong
argp	lysp	+	strong
gade-rcsb	gadx	+	strong
fur	fhub	-	strong
relb-rele	relb	-	strong
ihf	sgbe	+	strong
cysb	cysp	+	strong
crp	dcur	+	strong
cysb	taud	+	strong
h-ns	ydeo	-	strong
csgd	flgm	-	strong
iscr	naph	-	strong
narl	ogt	+	strong
crp	crp	+	strong
yefm-yoeb	yefm	-	strong
rcsb	bdm	+	strong
soxs	ybjn	+	strong
oxyr	sufs	+	strong
hdfr	flhc	-	strong
cpxr	marb	+	strong
mara	hdeb	-	strong
lrp	rrsc	-	strong
chbr	chba	-	strong
glrr	rpoe	+	strong
rob	acrb	+	strong
glpr	glpb	-	strong
ihf	paae	+	strong
rcda	csgd	+	strong
mata	ecpr	+	strong
crp	dada	+	strong
ihf	hypb	+	strong
dnaa	pola	+	strong
ihf	soda	-	strong
narp	ydhw	-	strong
narp	ydht	-	strong
ompr	csge	+	strong
iscr	hyac	-	strong
sgrr	sgrs	+	strong
mode	deob	-	strong
soxs	ybjc	+	strong
cadc	cadb	+	strong
arac	arae	+	strong
nanr	nans	-	strong
uvry	uhpt	+	strong
h-ns	yfae	-	strong
iscr	hyae	-	strong
crp	prpc	+	strong
h-ns	yjjp	-	strong
dpia	dpib	+	strong
leuo	casa	+	strong
h-ns	gspl	-	strong
cbl	ssub	+	strong
sgrr	sgrr	-	strong
tyrr	yaia	-	strong
crp	sgbe	+	strong
rcsb	gada	-	strong
h-ns	galm	-	strong
fnr	pdef	+	strong
fear	tyna	+	strong
fur	oppa	-	strong
crp	sgbu	-	strong
gade	gadx	+	strong
fur	gspd	-	strong
glpr	glpq	-	strong
soxr	fumc	+	strong
metj	mete	-	strong
rcda	yagk	-	strong
arca	sdhb	+	strong
rob	acra	+	strong
flhdc	flgk	+	strong
lrp	fimg	+	strong
cpxr	hha	+	strong
crp	paak	+	strong
phob	ugpa	+	strong
narp	ydhv	-	strong
crp	kbaz	+	strong
iscr	rnlb	-	strong
crp	mdte	-	strong
csgd	flik	-	strong
narp	ydhy	-	strong
narl	hcr	+	strong
iscr	sufs	+	strong
hdfr	gltd	+	strong
lrp	oppd	-	strong
argp	yfae	+	strong
csgd	flif	-	strong
narl	nrfe	-	strong
h-ns	gspj	-	strong
crp	lacy	+	strong
rcda	asr	+	strong
iscr	hyaa	-	strong
h-ns	nirc	-	strong
gals	galk	+	strong
mqsa	mqsr	-	strong
crp	hflc	-	strong
ihf	gltf	+	strong
narl	frdd	-	strong
exur	lgor	-	strong
fnr	hcr	+	strong
bira	biof	-	strong
fnr	moea	-	strong
fis	nuob	+	strong
qseb	qseb	+	strong
lrp	dadx	-	strong
h-ns	ycif	-	strong
mode	modc	-	strong
cysb	cysw	+	strong
crp	lsrc	+	strong
csgd	yccj	+	strong
ihf	hyce	+	strong
aidb	aidb	-	strong
dcur	dpia	+	strong
yqji	yqji	-	strong
hdfr	gltb	+	strong
tyrr	arop	-	strong
relb	rele	-	strong
relb-rele	rele	-	strong
rob	micf	+	strong
rcsb	ydep	+	strong
rsta	asr	+	strong
phob	fear	-	strong
iscr	napg	-	strong
arca	sdhc	+	strong
tyrr	arol	-	strong
hu	galt	-	strong
chbr	chbb	-	strong
cecr	cecr	-	strong
nagc	glmu	+	strong
nhar	pgab	+	strong
fis	nuol	+	strong
ntrc	glnl	-	strong
h-ns	gspg	-	strong
crp	yiam	-	strong
ihf	nuoj	-	strong
phop	slyb	-	strong
mode	narl	+	strong
mata	ecpa	+	strong
dcur	frdd	+	strong
fis	nuoc	+	strong
rcnr	rcnb	-	strong
crp	gadf	-	strong
basr	qsec	+	strong
cpxr	acrd	+	strong
phob	yhjc	+	strong
soxr	soxs	+	strong
h-ns	bglb	-	strong
hu	galm	-	strong
ihf	yjbf	+	strong
narl	frda	-	strong
kdpe	kdpf	+	strong
fhla	hycg	+	strong
ihf	acea	+	strong
cpxr	csgg	-	strong
gade	gadf	+	strong
mode	napb	+	strong
cpxr	cpxr	+	strong
crp	lsrr	+	strong
phop	hdeb	+	strong
crp	deoc	+	strong
rob	rob	-	strong
crp	hfq	-	strong
cbl	taub	+	strong
crp	ompr	-	strong
cecr	ybhg	-	strong
torr	tnab	+	strong
lexa	recb	-	strong
cysb	cysm	+	strong
cpxr	baer	+	strong
cra	icd	+	strong
phob	phnd	+	strong
crp	fis	-	strong
ihf	nuof	-	strong
crp	casb	-	strong
crp	laci	+	strong
lsrr	lsrc	-	strong
cbl	ssue	+	strong
arca	hyaf	+	strong
ihf	ilva	-	strong
fis	rrfa	+	strong
gade-rcsb	dctr	+	strong
crp	prpe	+	strong
fis	thrt	+	strong
mara	rob	-	strong
rclr	rclb	+	strong
narl	dcus	-	strong
cra	hypf	-	strong
lrp	fau	-	strong
hdfr	gltf	+	strong
h-ns	appy	-	strong
flhdc	flir	+	strong
nhar	pgaa	+	strong
