regulator 	 regulated 	 sign
nanr	yjhc	-	strong
crp	gcvh	+	strong
basr	yrbl	-	strong
argp	nrdb	+	strong
fhla	hypb	+	strong
acrr	soxr	-	strong
crp	gcd	-	strong
fis	rrsh	+	strong
nanr	nank	-	strong
dpia	exut	+	strong
fur	gspm	-	strong
h-ns	slp	-	strong
h-ns	chia	-	strong
narl	narj	+	strong
mode	ccmg	+	strong
ydeo	appa	+	strong
fis	rrfd	+	strong
fnr	nrdg	+	strong
cecr	ybhs	-	strong
fur	oppc	-	strong
oxyr	oxyr	-	strong
pdhr	cyod	-	strong
crp	fadl	+	strong
crp	paae	+	strong
ihf	nird	+	strong
fnr	nrdd	+	strong
crp	mdtf	-	strong
crp	nant	+	strong
crp	rela	+	strong
fnr	hmp	-	strong
nagc	glms	+	strong
mngr	mngb	-	strong
leuo	casc	+	strong
mara	zwf	+	strong
ihf	dmsa	-	strong
phob	phor	+	strong
hdfr	flhd	-	strong
h-ns	lrp	-	strong
higa	higb	-	strong
phob	ugpq	+	strong
agar	agai	-	strong
flhdc	glti	+	strong
caif	caic	+	strong
soxs	nfsb	+	strong
rcsb	gadx	-	strong
soxs	acna	+	strong
zrar	zras	+	strong
gadx	gadb	+	strong
narl	nrfb	-	strong
fis	topa	-	strong
murr	murp	-	strong
mcbr	mcba	-	strong
fur	sufs	-	strong
caif	caid	+	strong
crp	yiao	+	strong
rob	mara	+	strong
crp	pnp	-	strong
gadx	gadx	+	strong
crp	hupa	+	strong
fur	gsph	-	strong
narl	frdb	-	strong
hipb	hipa	-	strong
lrp	fimh	+	strong
fis	mazg	+	strong
zur	znuc	-	strong
pepa	pepa	-	strong
lsrr	lsrb	-	strong
mode	hycg	+	strong
h-ns	mdtf	-	strong
fnr	ydht	+	strong
h-ns	mdte	-	strong
crp	lsrg	+	strong
crp	paaa	+	strong
phob	yedx	+	strong
flhdc	flhb	+	strong
mode	narx	+	strong
nrdr	nrdd	-	strong
ihf	yjbg	+	strong
pgrr	ycjg	-	strong
ihf	nuol	-	strong
lexa	recd	-	strong
mlra	yhbe	+	strong
lrp	dada	-	strong
lrha	fime	+	strong
soxs	waay	+	strong
ntrc	glnq	-	strong
lexa	reca	-	strong
fur	oppf	-	strong
lrha	lrha	+	strong
uvry	luxs	+	strong
nrdr	nrdi	-	strong
ihf	paac	+	strong
h-ns	laca	-	strong
iscr	iscr	-	strong
fis	nuok	+	strong
crp	yhfa	-	strong
basr	csge	+	strong
nikr	nikd	-	strong
fis	rrlg	+	strong
sdia	ftsa	-	strong
adiy	gada	+	strong
crp	paab	+	strong
argp	recf	+	strong
lrp	osmy	-	strong
fliz	osmy	-	strong
narl	nrff	-	strong
lrp	fimc	+	strong
dan	ttdt	+	strong
caif	caia	+	strong
ihf	sufe	+	strong
mcbr	ycig	+	strong
dcur	frdc	+	strong
fis	rrfe	+	strong
dpia	cite	+	strong
fur	garl	-	strong
iscr	erpa	-	strong
fis	rrsd	+	strong
fliz	mdte	-	strong
fis	bglg	-	strong
mcbr	ycie	+	strong
ihf	nuob	-	strong
basr	fimb	+	strong
ydeo	mdte	+	strong
rcnr	rcna	-	strong
flhdc	flio	+	strong
pgrr	ycjx	-	strong
argr	gltb	-	strong
fis	nuom	+	strong
lsrr	lsrf	-	strong
lexa	lexa	-	strong
dpia	citc	+	strong
nagc	nage	-	strong
sgrr	sroa	-	strong
narl	nrfc	-	strong
puur	puuc	-	strong
lexa	umud	-	strong
fnr	fnrs	+	strong
fis	marr	+	strong
fis	thrv	+	strong
ihf	paaa	+	strong
ihf	nrfc	-	strong
lsrr	lsra	-	strong
gade	gadc	+	strong
fur	sufb	-	strong
fadr	fade	-	strong
h-ns	evgs	-	strong
dcur	dpib	+	strong
mara	pqib	+	strong
evga	gade	+	strong
fis	hupb	-	strong
crp	mtla	+	strong
hipb	fadh	-	strong
csgd	yhbt	-	strong
narl	nari	+	strong
csgd	yhbs	-	strong
dnaa	yfae	+	strong
ihf	nirc	+	strong
sgrr	thip	-	strong
csgd	flig	-	strong
cpxr	dgcz	+	strong
phob	phni	+	strong
soxs	marr	+	strong
pgrr	ymjd	-	strong
mode	hyce	+	strong
ular	ulab	-	strong
h-ns	gadx	-	strong
mode	hych	+	strong
mara	ybjn	+	strong
ihf	norv	+	strong
crp	nane	+	strong
dnaa	alda	-	strong
dnaa	yjev	-	strong
nrdr	yfae	-	strong
h-ns	fimi	+	strong
rcsb	rseb	+	strong
h-ns	fima	+	strong
h-ns	ydep	-	strong
crp	hflk	-	strong
lexa	dinf	-	strong
fis	rrlb	+	strong
adiy	gltf	+	strong
dnaa	dnaa	+	strong
flhdc	flgb	+	strong
flhdc	gltj	+	strong
ihf	paai	+	strong
evga	gadf	+	strong
mode	ccmd	+	strong
cpxr	csge	-	strong
ihf	hycb	+	strong
gade	gadb	+	strong
ihf	ilve	-	strong
galr	galr	-	strong
mara	rimk	+	strong
fliz	hdeb	-	strong
hipab	hipa	-	strong
fis	dusb	-	strong
crp	dadx	+	strong
sgrr	thiq	-	strong
cpxr	chea	-	strong
mode	hyca	+	strong
dnaa	recf	+	strong
cysb	ssuc	-	strong
cytr	ppia	-	strong
csgd	csgg	+	strong
fis	gltu	+	strong
ular	ulac	-	strong
melr	melb	-	strong
iscr	hyaf	-	strong
fis	thru	+	strong
iscr	sufd	+	strong
ihf	ompr	-	strong
xylr	xyla	+	strong
crp	hpt	+	strong
mode	hycb	+	strong
glpr	glpt	-	strong
rob	marr	+	strong
rcda	ydei	+	strong
lsrr	lsrd	-	strong
mara	nfsb	+	strong
adiy	gadc	+	strong
fis	ogt	-	strong
arac	araa	+	strong
fnr	prmc	-	strong
mode	napa	+	strong
cra	pfka	-	strong
arca	suca	-	strong
narl	ydhu	-	strong
fliz	csgg	-	strong
crp	malt	+	strong
hipab	rela	-	strong
metr	metr	-	strong
h-ns	gale	-	strong
fur	ftna	+	strong
crp	lyxk	-	strong
comr	bhsa	-	strong
agar	agad	-	strong
caif	fixa	+	strong
ihf	prov	+	strong
agar	agaa	-	strong
crp	csrc	-	strong
mode	napc	+	strong
mcbr	ycif	+	strong
hypt	meti	+	strong
mode	hycf	+	strong
ihf	ihfa	-	strong
ydeo	mdtf	+	strong
crp	gltf	-	strong
crp	rimp	-	strong
h-ns	yhim	-	strong
bira	bioc	-	strong
cpxr	ftnb	+	strong
flhdc	flij	+	strong
oxyr	flu	-	strong
crp	agaa	+	strong
narl	nark	+	strong
glrr	rseb	+	strong
mata	fliz	-	strong
ihf	paaz	+	strong
flhdc	flgi	+	strong
iscr	napa	-	strong
phob	ugpb	-	strong
crp	hupb	+	strong
flhdc	fliz	+	strong
rutr	gadx	-	strong
mara	fumc	+	strong
acrr	marr	-	strong
arca	sucb	+	strong
fur	gspe	-	strong
pgrr	ycjf	-	strong
phob	sbcd	-	strong
cpxr	mara	+	strong
csgd	flii	-	strong
h-ns	ftna	-	strong
crp	casd	-	strong
uxur	uxub	-	strong
h-ns	gadw	-	strong
h-ns	fimh	+	strong
ihf	norw	-	strong
hypt	cyda	+	strong
fis	nuoj	+	strong
fis	nrfd	-	strong
gade-rcsb	slp	+	strong
h-ns	gadf	-	strong
hipab	hipb	-	strong
ihf	nuoc	-	strong
fur	tfaq	-	strong
fis	nuoa	+	strong
mara	yhid	-	strong
crp	deoa	+	strong
puur	puur	-	strong
mqsa	csge	-	strong
slya	hlye	+	strong
nrdr	nrdg	-	strong
crp	arab	+	strong
h-ns	casd	-	strong
soxs	nfsa	+	strong
fliz	pder	-	strong
crp	lsrb	+	strong
mpra	mpra	-	strong
oxyr	fhuf	-	strong
zrar	zrap	+	strong
gadx	btub	-	strong
ihf	paaj	+	strong
cysb	tauc	+	strong
fur	gspg	-	strong
lsrr	lsrk	-	strong
fis	year	-	strong
cra	eno	-	strong
lrp	oppb	-	strong
sdia	ftsz	-	strong
fis	mara	+	strong
nrdr	nrdf	-	strong
ihf	nrff	-	strong
glrr	glmy	+	strong
cynr	cynt	+	strong
soxs	ompn	+	strong
soxs	uof	+	strong
phob	phne_1	+	strong
crp	rsea	+	strong
adiy	gltd	+	strong
phop	heml	+	strong
cpxr	yebe	+	strong
cbl	taud	+	strong
crp	glpr	+	strong
crp	sgbh	+	strong
phop	mgta	+	strong
fis	nrda	+	strong
cpxr	cyar	-	strong
dan	ttdr	+	strong
rcsab	flhd	-	strong
fhla	hyca	+	strong
hipab	maze	-	strong
arca	ptsg	-	strong
xylr	xylr	+	strong
arca	icd	-	strong
ihf	rpoh	+	strong
cra	acea	+	strong
soxs	acrb	+	strong
soxs	acra	+	strong
crp	envz	+	strong
mode	hyci	+	strong
dcur	dcta	+	strong
crp	fumc	+	strong
trpr	trpe	-	strong
cpxr	ppia	+	strong
cysb	cbl	+	strong
adiy	adia	+	strong
h-ns	casa	-	strong
fis	rrse	+	strong
ompr	bola	-	strong
cpxr	efeu_2	-	strong
nimr	nimt	-	strong
rhas	rhas	-	strong
arca	sdhd	+	strong
h-ns	galk	-	strong
basr	puta	-	strong
lrp	aidb	-	strong
pdhr	cyoc	-	strong
fur	gspf	-	strong
crp	hflx	-	strong
trpr	arom	-	strong
nagc	umph	-	strong
phob	phnh	+	strong
h-ns	gsph	-	strong
ihf	dusb	+	strong
lrp	oppc	-	strong
gade	gltf	+	strong
oxyr	ybjn	-	strong
ihf	hyci	+	strong
nanr	nant	-	strong
narl	dcur	-	strong
mlra	csgg	+	strong
flhdc	flge	+	strong
rclr	rclc	+	strong
mngr	mngr	-	strong
cysb	ssub	-	strong
flhdc	flil	+	strong
ihf	yiaj	-	strong
lexa	umuc	-	strong
mata	flic	-	strong
leuo	cas2	+	strong
crp	pck	+	strong
nanr	fimb	+	strong
soxs	mara	+	strong
fnr	narh	+	strong
crp	cas1	-	strong
atoc	atoe	+	strong
lrp	rrfb	-	strong
lrp	gabt	+	strong
narl	ydhv	-	strong
ihf	ilvl	-	strong
phob	yegh	+	strong
fhla	hyce	+	strong
ihf	nuon	-	strong
ydeo	hyae	+	strong
arca	moea	+	strong
h-ns	nrdd	-	strong
fis	rrsa	+	strong
phob	cusa	+	strong
fnr	nari	+	strong
fis	nuon	+	strong
lexa	uvrb	-	strong
puur	puud	-	strong
fliz	csgf	-	strong
flhdc	flgc	+	strong
fur	gspk	-	strong
lrp	cadb	+	strong
narp	nrfg	+	strong
rcsb	rsea	+	strong
crp	yiaj	-	strong
rcda	csgf	+	strong
cpxr	mota	-	strong
ihf	hycg	+	strong
cysb	cysa	+	strong
fis	tufb	+	strong
arca	sdha	+	strong
cpxr	marr	+	strong
cpxr	ldtd	+	strong
adiy	gadx	+	strong
crp	arac	+	strong
crp	araj	-	strong
iclr	iclr	-	strong
oxyr	sufa	+	strong
fur	gspj	-	strong
ydeo	hyac	+	strong
soxs	fumc	+	strong
fis	hupa	+	strong
atoc	atob	+	strong
soxs	pqia	+	strong
higb-higa	higa	-	strong
fis	ileu	+	strong
h-ns	yhid	-	strong
nimr	nimr	-	strong
mara	nfsa	+	strong
phob	phng	+	strong
h-ns	hlye	-	strong
phop	naga	+	strong
dnaa	nrda	+	strong
nikr	nika	-	strong
fis	ssrs	+	strong
ihf	nuoa	-	strong
oxyr	nfsa	-	strong
caif	caie	+	strong
ompr	micf	+	strong
ihf	sufd	+	strong
fur	garp	-	strong
ihf	dmsc	-	strong
bira	bioa	-	strong
lrp	rrlb	-	strong
lrp	cada	+	strong
paax	paay	-	strong
crp	glgp	+	strong
h-ns	lacz	-	strong
cytr	udp	-	strong
iscr	hyab	-	strong
fur	fepd	-	strong
fadr	fabb	+	strong
crp	glpd	+	strong
iscr	napd	-	strong
gade	mdtf	+	strong
ydeo	appx	+	strong
fis	nrfe	-	strong
fis	nrff	-	strong
phob	phnm	+	strong
basr	csgd	+	strong
mara	pura	-	strong
crp	casc	-	strong
argp	nrda	+	strong
sutr	cyse	-	strong
fis	rrlh	+	strong
ihf	nark	+	strong
acrr	soxs	-	strong
cbl	taua	+	strong
puta	putp	-	strong
agar	kbay	-	strong
cra	epd	-	strong
trpr	trpr	-	strong
lrp	fima	+	strong
soxs	zwf	+	strong
flhdc	flii	+	strong
flhdc	flgg	+	strong
ihf	nuoe	-	strong
hu	galk	-	strong
trpr	trpd	-	strong
mpra	emrb	-	strong
fnr	prfa	-	strong
fliz	yhid	-	strong
crp	xsea	-	strong
fur	sufc	-	strong
h-ns	fime	-	strong
leuo	leuo	-	strong
rcda	sula	-	strong
hypt	cydb	+	strong
soxs	waaz	+	strong
cpxr	tomb	+	strong
gade	rcsa	+	strong
phop	mgrb	+	strong
cra	mtld	-	strong
ihf	yiak	+	strong
lsrr	lsrr	-	strong
galr	galk	-	strong
lrp	micf	-	strong
mode	moda	-	strong
crp	mazf	+	strong
ihf	hycc	+	strong
fis	ndh	-	strong
crp	ilvn	+	strong
melr	melr	+	strong
purr	pyrc	-	strong
fis	rrlc	+	strong
xylr	xylb	+	strong
crp	rpso	-	strong
oxyr	hemh	+	strong
iscr	iscs	-	strong
iscr	sufb	+	strong
ihf	ssua	-	strong
nagc	naga	-	strong
crp	case	-	strong
fliz	flhd	-	strong
h-ns	bglf	-	strong
ihf	yian	+	strong
ihf	pstb	+	strong
mata	flhc	-	strong
crp	gntt	+	strong
nhar	pgad	+	strong
metr	glya	+	strong
csgd	nlpa	+	strong
ihf	fnr	+	strong
trpr	yaia	-	strong
oxyr	rimk	-	strong
arac	ygea	+	strong
phop	hded	+	strong
crp	glpg	+	strong
crp	rsec	+	strong
rsta	csgd	-	strong
metr	hmp	+	strong
soxs	fur	+	strong
higa	higa	-	strong
ihf	glpq	-	strong
narl	fdhf	-	strong
h-ns	gspi	-	strong
trpr	trpb	-	strong
fis	osme	-	strong
galr	galm	+	strong
ihf	ilvg_1	-	strong
gadw	gadc	+	strong
mqsa	cspd	-	strong
agar	agas	-	strong
ihf	hyca	+	strong
ompr	pgab	-	strong
leuo	bglg	+	strong
leuo	casb	+	strong
puur	puua	-	strong
fis	bglf	-	strong
arca	rpos	-	strong
fhla	hyci	+	strong
arca	foca	+	strong
fis	fis	-	strong
argr	gltd	-	strong
