bait_locus	prey_locus
JW0659	JW0659
JW0660	JW0660
JW0671	JW1494
JW0671	JW2668
JW0671	JW2798
JW0671	JW2947
JW0671	JW3152
JW0671	JW3258
JW0671	JW3265
JW0671	JW4079
JW0671	JW5211
JW0671	JW5300
JW0671	JW5584
JW0674	JW0674
JW0674	JW0762
JW0675	JW0675
JW0689	JW0514
JW0698	JW0698
JW0699	JW2568
JW0709	JW4105
JW0710	JW0710
JW0715	JW0715
JW0716	JW0715
JW0716	JW0716
JW0728	JW1394
JW0731	JW1558
JW0732	JW2947
JW0732	JW5543
JW0740	JW0043
JW0740	JW0167
JW0740	JW1142
JW0740	JW3011
JW0742	JW0043
JW0742	JW0167
JW0742	JW0519
JW0742	JW1142
JW0742	JW1664
JW0742	JW2683
JW0742	JW2763
JW0742	JW3011
JW0742	JW3446
JW0742	JW4342
JW0742	JW5361
JW0742	JW5787
JW0744	JW4342
JW0748	JW5520
JW0758	JW0213
JW0758	JW1256
JW0758	JW2433
JW0758	JW2725
JW0758	JW3976
JW0758	JW5300
JW0760	JW5258
JW0762	JW0258
JW0762	JW0594
JW0762	JW0635
JW0762	JW0762
JW0762	JW1695
JW0762	JW2237
JW0762	JW2433
JW0762	JW2947
JW0762	JW4079
JW0762	JW5073
JW0762	JW5772
JW0763	JW0466
JW0767	JW0768
JW0767	JW2136
JW0767	JW2989
JW0767	JW5024
JW0767	JW5772
JW0768	JW0258
JW0768	JW0768
JW0768	JW1172
JW0768	JW1695
JW0768	JW1884
JW0768	JW2433
JW0768	JW2947
JW0768	JW3446
JW0768	JW5117
JW0768	JW5674
JW0780	JW0780
JW0780	JW2875
JW0786	JW0786
JW0794	JW0794
JW0803	JW5346
JW0811	JW0811
JW0822	JW0822
JW0822	JW2004
JW0832	JW0936
JW0832	JW2875
JW0832	JW2947
JW0832	JW5300
JW0833	JW0195
JW0833	JW0594
JW0833	JW1142
JW0833	JW3446
JW0833	JW5772
JW0837	JW0594
JW0837	JW1568
JW0837	JW1695
JW0837	JW2433
JW0837	JW2627
JW0837	JW3626
JW0837	JW5024
JW0840	JW5818
JW0845	JW0845
JW0848	JW0195
JW0848	JW2268
JW0848	JW4114
JW0848	JW5125
JW0848	JW5702
JW0857	JW0594
JW0857	JW0857
JW0857	JW2433
JW0864	JW3510
JW0866	JW0043
JW0866	JW2989
JW0866	JW5024
JW0866	JW5361
JW0866	JW5772
JW0867	JW1558
JW0867	JW2989
JW0867	JW5849
JW0868	JW0057
JW0868	JW2929
JW0871	JW0191
JW0871	JW0459
JW0871	JW1163
JW0871	JW1786
JW0871	JW1991
JW0871	JW2226
JW0871	JW4088
JW0871	JW5300
JW0872	JW0047
JW0876	JW0876
JW0885	JW1441
JW0893	JW1165
JW0893	JW5300
JW0893	JW5584
JW0901	JW0258
JW0901	JW0998
JW0903	JW0258
JW0903	JW1142
JW0903	JW3710
JW0906	JW2947
JW0906	JW5543
JW0906	JW5772
JW0910	JW5682
JW0911	JW0911
JW0912	JW1484
JW0914	JW3393
JW0914	JW5772
JW0920	JW1366
JW0922	JW1776
JW0937	JW5300
JW0939	JW0762
JW0939	JW2947
JW0939	JW5091
JW0939	JW5162
JW0939	JW5434
JW0939	JW5702
JW0942	JW1106
JW0952	JW0184
JW0952	JW0762
JW0954	JW0959
JW0955	JW0957
JW0957	JW0954
JW0957	JW0955
JW0957	JW0957
JW0957	JW5484
JW0968	JW2671
JW0976	JW0195
JW0976	JW0976
JW0976	JW4342
JW0998	JW2947
JW1001	JW1510
JW1001	JW2226
JW1001	JW2989
JW1006	JW0429
JW1006	JW1006
JW1006	JW1283
JW1006	JW1944
JW1006	JW3205
JW1006	JW3674
JW1006	JW3684
JW1006	JW5969
JW1023	JW1023
JW1049	JW1074
JW1049	JW2268
JW1049	JW3381
JW1049	JW3626
JW1064	JW1936
JW1069	JW5146
JW1082	JW1082
JW1089	JW1089
JW1104	JW1090
JW1104	JW1805
JW1104	JW2154
JW1104	JW5415
JW1104	JW5849
JW1106	JW1106
JW1113	JW1113
JW1113	JW2989
JW1120	JW0195
JW1121	JW5264
JW1144	JW0043
JW1164	JW1165
JW1164	JW1540
JW1164	JW2546
JW1164	JW5095
JW1165	JW4342
JW1168	JW4342
JW1181	JW4342
JW1183	JW5543
JW1196	JW3712
JW1215	JW1217
JW1221	JW0403
JW1235	JW3786
JW1239	JW1389
JW1240	JW1240
JW1240	JW5035
JW1250	JW1250
JW1254	JW0043
JW1254	JW2226
JW1254	JW3011
JW1254	JW5454
JW1254	JW5787
JW1267	JW1267
JW1267	JW4070
JW1268	JW0035
JW1276	JW5317
JW1295	JW1835
JW1313	JW1313
JW1317	JW5158
JW1323	JW0043
JW1323	JW0519
JW1323	JW5157
JW1336	JW1336
JW1355	JW1355
JW1411	JW5361
JW1419	JW0258
JW1419	JW2989
JW1419	JW3444
JW1419	JW3778
JW1419	JW5024
JW1419	JW5772
JW1441	JW0043
JW1441	JW0167
JW1441	JW0195
JW1441	JW0258
JW1441	JW0885
JW1441	JW3200
JW1441	JW5117
JW1441	JW5300
JW1470	JW3862
JW1477	JW0167
JW1477	JW1477
JW1477	JW2411
JW1481	JW3510
JW1488	JW0195
JW1488	JW5346
JW1489	JW0389
JW1511	JW0167
JW1511	JW5772
JW1532	JW1532
JW1558	JW0411
JW1558	JW1558
JW1558	JW2444
JW1595	JW1595
JW1599	JW2651
JW1604	JW1604
JW1610	JW0043
JW1610	JW1610
JW1610	JW5292
JW1618	JW0886
JW1623	JW1623
JW1631	JW3363
JW1633	JW0947
JW1637	JW0258
JW1643	JW0167
JW1670	JW0195
JW1670	JW2725
JW1670	JW5674
JW1670	JW5702
JW1671	JW0195
JW1671	JW1672
JW1672	JW5273
JW1684	JW0195
JW1693	JW1693
JW1696	JW0043
JW1696	JW2226
JW1696	JW3011
JW1696	JW5454
JW1696	JW5787
JW1702	JW0762
JW1703	JW1703
JW1703	JW4042
JW1709	JW1709
JW1710	JW0453
JW1721	JW1721
JW1721	JW1907
JW1729	JW1558
JW1729	JW1566
JW1729	JW1729
JW1730	JW2947
JW1733	JW0453
JW1733	JW2725
JW1733	JW5543
JW1733	JW5607
JW1733	JW5772
JW1737	JW2070
JW1765	JW1765
