bait_locus	prey_locus
JW3883	JW3882
JW3890	JW0886
JW3890	JW1113
JW3892	JW5702
JW3894	JW1256
JW3894	JW3462
JW3900	JW0459
JW3900	JW0594
JW3900	JW5702
JW3904	JW1394
JW3904	JW4342
JW3905	JW2440
JW3905	JW2642
JW3905	JW2947
JW3905	JW2989
JW3907	JW0389
JW3907	JW0758
JW3907	JW1142
JW3907	JW2440
JW3918	JW2172
JW3918	JW3481
JW3918	JW5772
JW3922	JW1994
JW3922	JW2331
JW3922	JW2947
JW3926	JW0645
JW3926	JW0762
JW3926	JW3925
JW3930	JW0709
JW3940	JW0043
JW3940	JW5300
JW3944	JW3039
JW3946	JW5212
JW3950	JW0058
JW3985	JW3985
JW4001	JW1612
JW4008	JW5157
JW4024	JW0258
JW4024	JW0878
JW4037	JW2924
JW4040	JW0857
JW4042	JW1703
JW4042	JW4042
JW4049	JW2433
JW4049	JW5909
JW4062	JW3728
JW4101	JW1366
JW4119	JW0195
JW4119	JW3266
JW4119	JW5125
JW4125	JW4138
JW4128	JW4128
JW4131	JW2278
JW4139	JW4139
JW4149	JW2568
JW4160	JW4158
JW4186	JW0452
JW4186	JW0758
JW4186	JW1142
JW4186	JW2440
JW4186	JW5091
JW4186	JW5117
JW4192	JW0093
JW4192	JW3077
JW4192	JW4192
JW4193	JW5584
JW4196	JW4196
JW4196	JW4197
JW4197	JW0848
JW4197	JW3956
JW4197	JW4197
JW4198	JW0525
JW4200	JW1994
JW4200	JW2947
JW4215	JW4215
JW4216	JW4216
JW4223	JW5300
JW4223	JW5351
JW4225	JW0234
JW4225	JW0594
JW4225	JW2408
JW4225	JW2433
JW4225	JW2627
JW4225	JW3039
JW4225	JW5434
JW4227	JW1113
JW4250	JW0939
JW4250	JW1495
JW4250	JW1695
JW4250	JW2776
JW4250	JW3699
JW4250	JW5253
JW4250	JW5351
JW4250	JW5772
JW4263	JW0086
JW4325	JW4012
JW4338	JW5682
JW4340	JW4340
JW4346	JW5300
JW4352	JW0602
JW4354	JW2947
JW5007	JW1612
JW5009	JW0258
JW5009	JW3481
JW5009	JW4087
JW5009	JW5361
JW5009	JW5772
JW5060	JW0871
JW5060	JW2118
JW5060	JW2965
JW5060	JW5060
JW5060	JW5772
JW5085	JW5702
JW5092	JW0647
JW5092	JW5092
JW5100	JW0415
JW5100	JW0453
JW5100	JW0628
JW5100	JW5126
JW5100	JW5157
JW5100	JW5434
JW5104	JW0040
JW5117	JW0258
JW5117	JW0594
JW5117	JW2280
JW5117	JW2836
JW5117	JW2965
JW5117	JW3481
JW5117	JW4087
JW5117	JW5361
JW5117	JW5674
JW5117	JW5772
JW5118	JW2947
JW5118	JW3058
JW5118	JW5584
JW5125	JW0453
JW5125	JW0594
JW5125	JW1389
JW5125	JW2947
JW5125	JW5024
JW5125	JW5125
JW5125	JW5434
JW5125	JW5702
JW5126	JW2734
JW5126	JW5126
JW5127	JW0453
JW5127	JW2161
JW5127	JW4342
JW5127	JW5217
JW5131	JW5361
JW5145	JW0635
JW5145	JW2098
JW5145	JW2332
JW5145	JW5300
JW5145	JW5351
JW5152	JW2433
JW5152	JW5543
JW5152	JW5772
JW5157	JW3949
JW5162	JW0147
JW5184	JW3976
JW5200	JW0872
JW5200	JW1267
JW5205	JW5505
JW5211	JW4003
JW5221	JW0957
JW5221	JW2322
JW5238	JW1956
JW5238	JW2332
JW5238	JW3182
JW5265	JW5265
JW5276	JW1688
JW5277	JW0213
JW5277	JW0391
JW5277	JW0835
JW5277	JW1703
JW5277	JW1968
JW5277	JW2989
JW5277	JW5024
JW5277	JW5277
JW5277	JW5772
JW5289	JW0195
JW5289	JW0947
JW5291	JW4042
JW5302	JW0412
JW5302	JW1276
JW5302	JW1650
JW5302	JW1816
JW5302	JW3229
JW5302	JW5302
JW5302	JW5317
JW5303	JW2433
JW5346	JW0803
JW5352	JW0142
JW5352	JW0195
JW5352	JW5352
JW5355	JW2280
JW5355	JW2989
JW5355	JW3053
JW5355	JW3976
JW5355	JW5157
JW5355	JW5351
JW5355	JW5397
JW5355	JW5403
JW5361	JW2947
JW5361	JW3208
JW5366	JW0453
JW5366	JW3208
JW5374	JW5374
JW5374	JW5668
JW5397	JW2989
JW5397	JW5397
JW5397	JW5772
JW5413	JW0076
JW5413	JW0594
JW5413	JW2875
JW5413	JW5300
JW5413	JW5772
JW5431	JW0258
JW5431	JW5772
JW5433	JW0195
JW5433	JW0519
JW5433	JW0780
JW5433	JW1165
JW5433	JW1884
JW5433	JW3266
JW5433	JW5125
JW5434	JW5434
JW5440	JW5441
JW5446	JW1901
JW5453	JW5453
JW5460	JW0043
JW5460	JW0321
JW5460	JW0709
JW5460	JW1510
JW5460	JW1956
JW5460	JW2331
JW5460	JW2336
JW5460	JW2831
JW5460	JW5300
JW5473	JW0936
JW5473	JW2627
JW5473	JW2947
JW5473	JW3147
JW5473	JW5300
JW5473	JW5543
JW5473	JW5584
JW5479	JW1142
JW5479	JW2440
JW5511	JW0347
JW5511	JW1067
JW5511	JW1660
JW5511	JW1839
JW5511	JW2602
JW5511	JW3658
JW5531	JW5531
JW5535	JW0452
JW5535	JW1693
JW5535	JW5772
JW5536	JW2169
JW5536	JW5162
JW5545	JW0180
JW5545	JW2313
JW5547	JW5547
JW5550	JW0213
JW5550	JW0602
JW5550	JW1693
JW5550	JW2947
JW5550	JW3509
JW5550	JW4342
JW5550	JW5550
JW5559 	JW3756
JW5559	JW5559
JW5571	JW0931
JW5571	JW5300
JW5571	JW5571
JW5575	JW5575
JW5581	JW1172
JW5581	JW3348
JW5596	JW2092
JW5596	JW2651
JW5596	JW5702
JW5604	JW5300
JW5607	JW0213
JW5607	JW0453
JW5607	JW1172
JW5627	JW5627
JW5655	JW3519
JW5660	JW0258
JW5660	JW2947
JW5660	JW2989
JW5660	JW5702
JW5660	JW5772
JW5665	JW1623
JW5668	JW5668
JW5672	JW0043
JW5672	JW1142
JW5672	JW1994
JW5672	JW4342
JW5672	JW5300
JW5672	JW5404
JW5672	JW5787
JW5682	JW2070
JW5682	JW5682
JW5687	JW0872
JW5698	JW0453
JW5698	JW2947
JW5698	JW5434
JW5698	JW5702
JW5699	JW2964
JW5702	JW0115
JW5702	JW2249
JW5702	JW3945
JW5713	JW5713
JW5718	JW0167
JW5718	JW1142
JW5718	JW2440
JW5718	JW5300
JW5724	JW5724
JW5727	JW3459
JW5727	JW4057
JW5742	JW0043
JW5742	JW1956
JW5742	JW2331
JW5742	JW2965
JW5746	JW0282
JW5746	JW2683
JW5746	JW2964
JW5746	JW4246
JW5746	JW5674
JW5746	JW5746
JW5771	JW4360
JW5786	JW2956 
JW5790	JW3462
JW5807	JW0076
JW5807	JW0213
JW5811	JW0167
JW5811	JW5772
JW5816	JW2989
JW5816	JW5300
JW5816	JW5584
JW5821	JW2092
JW5821	JW5702
JW5826	JW0939
JW5826	JW1572
JW5826	JW5772
JW5847	JW1901
JW5854	JW1956
JW5854	JW5300
JW5871	JW4138
JW5871	JW5871
JW5949	JW0195
JW5949	JW1165
JW5949	JW1457
JW5949	JW1884
JW5949	JW2947
JW5949	JW5125
JW5949	JW5543
JW5961	JW1596
JW5961	JW1994
JW5961	JW5904
JW5965	JW0594
JW5965	JW0709
JW5965	JW1994
JW5965	JW5300
JW5965	JW5361
JW5969	JW1944
JW5969	JW3205
JW5969	JW5969
JW0456	JW5505
JW5210	JW5434
JW0504	JW0492
JW2695	JW3728
JW2141	JW0539
JW0801	JW0918
JW0659	JW5381
JW0659	JW0258
JW0683	JW3171
JW0716	JW0112
JW0733	JW5772
JW0733	JW0594
JW3323 	JW1801
JW1923	JW3323
JW1925	JW3268
JW1595	JW3268
JW1075	JW3268
JW1551	JW5543
JW1551	JW2566
JW1551	JW4003
JW1250	JW0762
JW1445	JW3048
JW1445	JW3459
JW1630	JW3444
JW1516	JW1085
JW1516	JW4139
JW2051	JW0600
JW2064	JW1911
JW2243	JW3268
JW2837	JW3268
JW2837	JW5533
JW1923	JW2433
JW1923	JW5772
JW1923	JW5434
JW1923	JW0931
JW1929	JW1923
JW2409	JW2947
JW2409	JW5073
JW1929	JW2322
JW4070	JW0689
JW4070	JW1267
JW2463	JW2463
JW3701	JW2671
JW3435	JW2514
JW3449	JW2514
JW3413	JW0865
JW3675	JW1385
JW3681	JW3162
JW3755	JW5381
JW3781	JW3276
JW3720	JW2379
JW3720	JW4079
JW3737	JW2331
JW3779	JW2331
JW3779	JW1163
JW3830	JW1956
JW3894	JW0280
JW3894	JW0519
JW3894	JW1956
JW3907	JW0819
JW3936	JW0819
JW3936	JW2440
JW3893	JW5258
JW3893	JW2440
JW3893	JW1163
JW3959	JW2408
JW5856	JW0040
JW5856	JW2546
JW5856	JW2965
JW5856	JW4331
JW5856	JW2690
JW5697	JW5258
JW0057	JW0868
JW0057	JW3011
JW0057	JW5787
JW0057	JW0388
JW0037	JW3971
JW0048	JW0709
JW0048	JW0519
JW0051	JW0051
JW0051	JW3011
JW0051	JW0709
JW0058	JW0931
JW0058	JW5543
JW0058	JW2947
JW0063	JW3011
JW0063	JW0709
JW0063	JW5303
JW0066	JW0709
JW0075	JW3224
JW0075	JW2064
JW0075	JW5157
JW0078	JW0078
JW0086	JW0440
JW0096	JW0709
JW0090	JW0519
JW0090	JW0709
JW0097	JW3011
JW0097	JW0709
JW3315	JW1767
JW3315	JW2331
JW3315	JW2332
JW3315	JW0519
JW3394	JW0709
JW3394	JW2331
JW3394	JW5258
JW3394	JW3011
JW3394	JW4178
JW3394	JW0519
JW3646	JW3645
JW3700	JW5533
JW4259	JW4259
JW3970	JW3970
JW3156	JW0519
JW3164	JW3011
JW3164	JW0709
JW0567	JW0567
JW0579	JW5814
JW0579	JW5187
JW0579	JW0042
JW0579	JW0005
JW0579	JW1596
JW3728	JW3381
JW4054	JW0403
JW4203	JW4204
JW4236	JW2666
JW4236	JW5258
JW4236	JW3945
JW4236	JW5125
JW4236	JW0998
JW4236	JW2989
JW4236	JW0258
JW4236	JW5772
JW1130	JW3276
JW1130	JW3199
JW4264	JW2671
JW4264	JW0998
JW4264	JW0258
JW4264	JW1165
JW4264	JW3945
JW4264	JW5772
JW4264	JW5434
JW4356	JW2331
JW1134	JW2671
JW1128	JW2331
JW1128	JW1163
JW5423	JW4342
JW5423	JW2642
JW5423	JW4261
JW5210	JW2671
JW5210	JW4261
JW5210	JW4342
JW0147	JW3971
JW0312	JW0311
JW0338	JW0313
JW0707	JW2666
JW0709	JW5351
JW0711	JW1688
JW5230	JW1433
JW5448	JW3276
JW5749	JW4023
JW5749	JW1596
JW5683	JW1956
JW5131	JW1163
JW5131	JW0519
JW5438	JW2331
JW5438	JW1956
JW3036	JW1949
JW5479	JW5258
JW5212	JW0983
JW5060	JW4342
JW5060	JW2408
JW5060	JW1385
JW5060	JW4261
JW5060	JW2546
JW5162	JW3896
JW5122	JW5258
JW5429	JW5217
JW5356	JW3509
JW5356	JW3011
JW5031	JW5441
JW5198+JW5199	JW0709
JW5198+JW5199	JW2331
JW5198+JW5199	JW3011
JW0779	JW0709
JW5784	JW0709
JW5784	JW3011
JW5784	JW0519
JW5787	JW4122
JW5745	JW3011
JW5745	JW0709
JW3039	JW0063
JW4003	JW0063
JW3039	JW3876
JW3039	JW3877
JW3039	JW4079
JW3039	JW1724
JW0063	JW0063
JW0063	JW1724
JW3877	JW4003
JW3877	JW1724
JW3039	JW4003
JW3039	JW2379
JW4003	JW4003
JW4003	JW1724
JW1724	JW3039
JW1724	JW4003
JW1724	JW1724
JW2379	JW3039
JW2379	JW4003
JW2379	JW0063
JW2379	JW2379
JW3876	JW4003
JW3876	JW0063
JW3876	JW1724
JW3876	JW2379
JW0024	JW0957
JW0024	JW5757
JW0637	JW0135
JW2403	JW0637
JW1266	JW0637
JW2403	JW2403
JW2403	JW0957
JW2403	JW3730
JW1266	JW2403
JW1266	JW0957
JW1266	JW3730
JW3730	JW2403
JW3730	JW1266
JW3730	JW0957
JW3730	JW3730
JW3730	JW5757
JW5757	JW2403
JW5757	JW0957
JW5757	JW3730
JW0135	JW2403
JW0135	JW0957
JW0135	JW3730
JW0763	JW2403
JW0763	JW1266
JW0763	JW0957
JW0763	JW3730
JW0763	JW5757
JW0763	JW0135
JW0763	JW0763
JW0024	JW2403
JW0024	JW0763
JW0637	JW0957
JW0637	JW3730
JW0637	JW0763
JW0440	JW0440
JW0440	JW3840
JW0440	JW0441
JW0162	JW0440
JW2537	JW2537
JW2537	JW3840
JW2537	JW0162
JW2537	JW0441
JW2537	JW4212
JW3840	JW0162
JW3840	JW3840
JW0441	JW3840
JW4212	JW3840
JW1216	JW1215
JW1463	JW1216
JW1216	JW3052
JW1216	JW1461
JW1215	JW1462
JW3052	JW1462
JW1462	JW1461
JW0915	JW1462
JW1463	JW0915
JW1463	JW1461
JW1215	JW0915
JW1215	JW1461
JW3052	JW0915
JW0915	JW0915
JW1461	JW0915
JW1461	JW1461
JW1461	JW1463
JW1461	JW1215
JW1461	JW3052
JW1216	JW0915
JW0024	JW3730
JW0071	JW0070
JW0080	JW4129
JW0089	JW0089
JW0097	JW4114
JW0456	JW0762
JW0570	JW2696
JW0713	JW2865
JW1165	JW1165
JW1216	JW1462
JW1796	JW3036
JW1876	JW5543
JW1923	JW5157
JW1929	JW1930
JW2379	JW1724
JW2537	JW0440
JW3646	JW3742
JW3907	JW2989
JW3959	JW3039
JW4216	JW4334
JW4334	JW4216
JW5060	JW2642
JW5162	JW2181
JW5409	JW3138
JW5963	JW4216
JW0389	JW0389
JW4362	JW4361
JW3368	JW0389
JW0560	JW0560
JW5322	JW0560
JW4361	JW4361
JW0683	JW5096
JW2064	JW2064
JW3265	JW3280
JW0013	JW0462
JW1261	JW0931
JW5414	JW3429
JW3429	JW5414
JW4334	JW0459
JW1225	JW2644
JW2366	JW2367
JW2560	JW1261
JW3224	JW3223
JW1703	JW5277
JW3756	JW3945
JW0031	JW0031
JW0459	JW0205
JW2453	JW2181
JW4019	JW0762
JW4216	JW1085
JW0635	JW0179
JW3905	JW5702
JW5702	JW3905
JW4318	JW1876
JW1212	JW2453
JW0205	JW1831
JW0013	JW0985
JW0635	JW0205
JW3943	JW3381
JW5851	JW2560
JW2168	JW1238
JW1071	JW2560
JW1925	JW1925
JW0713	JW0714
JW2805	JW2805
JW1752	JW2860
JW2501	JW2560
JW3943	JW0254
JW1930	JW1930
JW5604	JW5604
JW3381	JW0014
JW1058	JW1907
JW1922	JW1923
JW2805	JW2138
JW5856	JW0871
JW0096	JW0726
JW1075	JW3612
JW4103	JW3591
JW4103	JW2594
JW3786	JW5604
JW0096	JW3142
JW3678	JW3678
JW0587	JW0587
JW3719	JW3684
JW5188	JW5187
JW2201	JW3039
JW5702	JW3039
JW0195	JW2689
JW1729	JW3679
JW4334	JW1752
JW2194 	JW2195
JW2512	JW2509
JW2513	JW2513
JW3678	JW5397
JW4103	JW3488
JW5375	JW2278
JW4103	JW1694
JW0871	JW2648
JW0459	JW4020
JW3701	JW0308
JW0593	JW0179
JW0411	JW1558
JW3381	JW0041
JW3381	JW1926
JW2917	JW1843
JW1407	JW2676
JW0886	JW2676
JW3381	JW2501
JW1929	JW1929
JW1873	JW2557
JW1930	JW1925
JW0215	JW0216
JW1279	JW3265
JW2806	JW3883
JW0901	JW5874
JW3786	JW3805
JW2216	JW2577
JW2499	JW0286
JW3149	JW3140
JW3279	JW3288
JW3033	JW3386
JW3474	JW3474
JW2558	JW0733
JW5702	JW0033
JW5503	JW5100
JW2752	JW2550
JW3946	JW0167
JW5702	JW3381
JW3678	JW0179
JW1909	JW1911
JW1796	JW4126
JW2195	JW2965
JW3840	JW3839
JW0683	JW0683
JW0980	JW5135
JW1116	JW1116
JW3303	JW1261
JW0804	JW1283
JW2773	JW2773
JW2721	JW2722
JW3753	JW3753
JW4103	JW2701
JW0077	JW0077
JW2781	JW2782
JW4011	JW4011
JW0742	JW0742
JW3224	JW0404
JW2101	JW3279
JW2485	JW2485
JW3263	JW2501
JW2557	JW2557
JW0082	JW3175
JW3678	JW3349
JW3707	JW1408
JW0387	JW1407
JW2493	JW1571
JW5416	JW1431
JW3976	JW1122
JW5835	JW5331
JW0587	JW0586
JW0833	JW3585
JW1106	JW0942
JW4334	JW1407
JW1165	JW1605
JW5187	JW2998
JW0089	JW5753
JW2316	JW1843
JW1069	JW1057
JW1873	JW4106
JW3277	JW2226
JW3721	JW1950
JW4103	JW2382
JW2654	JW0280
JW1223	JW0373
JW1873	JW1925
JW1911	JW1911
JW2557	JW1925
JW1796	JW4335
JW3959	JW3959
JW2689	JW2689
JW2689	JW0195
JW2689	JW0801
JW5769	JW5769
JW0801	JW0195
JW0801	JW0801
JW0801	JW2689
JW0801	JW0244
JW0801	JW3488
JW0244	JW0244
JW5769	JW0801
