YY1 	AIP 	
YY1 	AIP 	
E2F6 	AK2 	
MAX 	AK2 	
SP1 	AK2 	
SP2 	AK2 	
FOS 	AK2 	
NFYA 	AK2 	
NFYB 	AK2 	
CHD2 	AKAP1 	
CHD2 	AKAP11 	
NFYB 	AKAP8 	
SP1 	AKAP8L 	
SP2 	AKAP8L 	
FOS 	AKAP8L 	
IRF1 	AKAP8L 	
NFYA 	AKAP8L 	
NFYB 	AKAP8L 	
THAP1 	AKD1 	
MAX 	AKR1A1 	
MYC 	AKR1A1 	
MYC 	AKR1A1 	
MYC 	AKR1A1 	
MYC 	AKR1A1 	
NFYB 	AKR1E2 	
E2F6 	AKR7A2 	
EGR1 	AKR7A2 	
THAP1 	AKT1S1 	
USF1 	AKT1S1 	
YY1 	AKT1S1 	
YY1 	AKT1S1 	
IRF1 	AKT1S1 	
MAX 	AKT1S1 	
NFYB 	AKTIP 	
GTF2B 	ALDH16A1 	
SPI1 	ALDH2 	
E2F6 	ALDOA 	
IRF1 	ALDOC 	
THAP1 	ALG12 	
YY1 	ALG12 	
MYC 	ALG3 	
CEBPB 	ALG3 	
MYC 	ALG3 	
MYC 	ALG3 	
MYC 	ALG3 	
MYC 	ALG3 	
E2F6 	ALG8 	
THAP1 	ALG8 	
NRF1 	ALG8 	
GABPA 	ALKBH3 	
EGR1 	ALKBH4 	
IRF1 	ALKBH6 	
SP1 	ALKBH7 	
SP2 	ALKBH7 	
FOS 	ALKBH7 	
NFYA 	ALKBH7 	
NFYB 	ALKBH7 	
BDP1 	ALOXE3 	
POLR3A 	ALOXE3 	
GTF2B 	ALOXE3 	
GTF2B 	AMD1 	
USF1 	AMDHD2 	
MAX 	AMDHD2 	
NFE2 	AMDHD2 	
USF2 	AMDHD2 	
MYC 	AMPD2 	
EGR1 	AMZ2P1 	
MYC 	ANAPC10 	
MYC 	ANAPC10 	
MYC 	ANAPC10 	
RAD21 	ANAPC2 	
SRF 	ANAPC2 	
ATF3 	ANAPC2 	
USF1 	ANAPC5 	
NFYA 	ANAPC5 	
NFYB 	ANAPC5 	
BDP1 	ANG 	
POLR3A 	ANG 	
GTF2B 	ANG 	
THAP1 	ANGEL2 	
YY1 	ANGEL2 	
YY1 	ANGEL2 	
NRF1 	ANGEL2 	
REST 	ANK1 	
ZBTB7A 	ANK1 	
CCNT2 	ANK1 	
HMGN3 	ANK1 	
TAL1 	ANK1 	
ZBTB33 	ANKFY1 	
CHD2 	ANKFY1 	
SP1 	ANKHD1 	
SP2 	ANKHD1 	
FOS 	ANKHD1 	
NFYA 	ANKHD1 	
NFYB 	ANKHD1 	
SP1 	ANKHD1-EIF4EBP3 	
SP2 	ANKHD1-EIF4EBP3 	
FOS 	ANKHD1-EIF4EBP3 	
NFYA 	ANKHD1-EIF4EBP3 	
NFYB 	ANKHD1-EIF4EBP3 	
IRF1 	ANKMY2 	
NFYA 	ANKRD11 	
USF1 	ANKRD12 	
MAX 	ANKRD12 	
SPI1 	ANKRD13A 	
REST 	ANKRD13B 	
SP1 	ANKRD16 	
SP2 	ANKRD16 	
FOS 	ANKRD16 	
IRF1 	ANKRD16 	
NRF1 	ANKRD26 	
BCL3 	ANKRD30BL 	
CTCFL 	ANKRD30BL 	
FOSL1 	ANKRD30BL 	
GATA2 	ANKRD30BL 	
HDAC2 	ANKRD30BL 	
SPI1 	ANKRD30BL 	
RAD21 	ANKRD30BL 	
SIX5 	ANKRD30BL 	
SP2 	ANKRD30BL 	
SRF 	ANKRD30BL 	
ZBTB33 	ANKRD30BL 	
MYC 	ANKRD30BL 	
ATF3 	ANKRD30BL 	
BDP1 	ANKRD30BL 	
BRF1 	ANKRD30BL 	
BRF2 	ANKRD30BL 	
SMARCA4 	ANKRD30BL 	
CCNT2 	ANKRD30BL 	
CEBPB 	ANKRD30BL 	
JUN 	ANKRD30BL 	
JUN 	ANKRD30BL 	
JUN 	ANKRD30BL 	
JUN 	ANKRD30BL 	
MYC 	ANKRD30BL 	
MYC 	ANKRD30BL 	
MYC 	ANKRD30BL 	
MYC 	ANKRD30BL 	
GTF2B 	ANKRD30BL 	
GTF2F1 	ANKRD30BL 	
HMGN3 	ANKRD30BL 	
SMARCB1 	ANKRD30BL 	
IRF1 	ANKRD30BL 	
JUND 	ANKRD30BL 	
MAFK 	ANKRD30BL 	
MAX 	ANKRD30BL 	
MXI1 	ANKRD30BL 	
RDBP 	ANKRD30BL 	
NFE2 	ANKRD30BL 	
NRF1 	ANKRD30BL 	
EP300 	ANKRD30BL 	
RAD21 	ANKRD30BL 	
SIRT6 	ANKRD30BL 	
SMC3 	ANKRD30BL 	
STAT1 	ANKRD30BL 	
STAT1 	ANKRD30BL 	
STAT1 	ANKRD30BL 	
STAT1 	ANKRD30BL 	
STAT2 	ANKRD30BL 	
STAT2 	ANKRD30BL 	
TAL1 	ANKRD30BL 	
GTF2B 	ANKRD30BL 	
USF2 	ANKRD30BL 	
XRCC4 	ANKRD30BL 	
CTCF 	ANKRD30BL 	
GABPA 	ANKRD32 	
RAD21 	ANKRD39 	
SP1 	ANKRD39 	
FOS 	ANKRD39 	
IRF1 	ANKRD39 	
NFYA 	ANKRD39 	
NFYB 	ANKRD39 	
STAT1 	ANKRD45 	
STAT2 	ANKRD45 	
RAD21 	ANKRD6 	
CEBPB 	ANLN 	
FOS 	ANP32A 	
NFYB 	ANP32A 	
E2F6 	ANP32B 	
MAX 	ANP32B 	
ZBTB7A 	ANP32B 	
MYC 	ANP32B 	
MYC 	ANP32B 	
FOS 	ANP32E 	
NFYA 	ANP32E 	
NFYB 	ANP32E 	
SP1 	AP2A1 	
SP2 	AP2A1 	
FOS 	AP2A1 	
IRF1 	AP2A1 	
NFYA 	AP2A1 	
NFYB 	AP2A1 	
GTF2B 	AP2A2 	
THAP1 	AP2B1 	
YY1 	AP2B1 	
YY1 	AP2B1 	
EGR1 	AP2M1 	
ETS1 	AP2S1 	
SIX5 	AP2S1 	
NRF1 	AP3B1 	
REST 	AP3B2 	
IRF1 	AP3D1 	
RAD21 	AP4B1 	
SRF 	AP4B1 	
TAL1 	AP4B1 	
E2F6 	AP4M1 	
USF1 	AP4M1 	
MAX 	AP4M1 	
NFYB 	AP4M1 	
NRF1 	APBA3 	
GTF2B 	APBA3 	
USF1 	APC 	
NRF1 	APC 	
USF1 	APEX1 	
MAX 	APEX1 	
NFE2 	APEX1 	
USF2 	APEX1 	
E2F6 	APITD1 	
SPI1 	APOB48R 	
STAT1 	APOF 	
STAT2 	APOF 	
STAT2 	APOF 	
STAT1 	APOL4 	
FOSL1 	APOM 	
GTF2B 	APOM 	
GABPA 	APPL2 	
MAX 	APRT 	
TAL1 	AQP8 	
GABPA 	AQR 	
FOS 	ARAF 	
NFYB 	ARAF 	
ZBTB33 	ARF3 	
CHD2 	ARF3 	
E2F6 	ARFGAP3 	
USF1 	ARFGEF2 	
THAP1 	ARFIP2 	
ELF1 	ARHGAP1 	
GABPA 	ARHGAP1 	
SRF 	ARHGAP1 	
NFYA 	ARHGAP19 	
NFYB 	ARHGAP19 	
SPI1 	ARHGAP25 	
TAF7 	ARHGAP4 	
BCL3 	ARHGDIA 	
MYC 	ARHGDIA 	
SP2 	ARHGEF1 	
ELF1 	ARHGEF18 	
SPI1 	ARHGEF2 	
SP1 	ARID1A 	
JUN 	ARID1A 	
ZBTB7A 	ARID3A 	
SP1 	ARID4A 	
FOS 	ARID4A 	
NFYA 	ARID4A 	
NFYB 	ARID4A 	
EGR1 	ARID4B 	
IRF1 	ARID5A 	
GTF2B 	ARL15 	
ELF1 	ARL16 	
FOS 	ARL16 	
CTCFL 	ARL2 	
USF1 	ARL2 	
CTCF 	ARL2 	
EGR1 	ARL3 	
CTCF 	ARL8B 	
NRF1 	ARMC6 	
CEBPB 	ARNT 	
ELF1 	ARPC1A 	
ELF1 	ARPC3 	
SPI1 	ARPC3 	
RAD21 	ARPC3 	
EGR1 	ARPC4 	
ZBTB7A 	ARPC4 	
TAL1 	ARRDC2 	
EGR1 	ARRDC4 	
FOS 	ARRDC4 	
IRF1 	ARRDC4 	
NFYA 	ARRDC4 	
NFYB 	ARRDC4 	
NRF1 	ARSK 	
RAD21 	ARTN 	
CTCF 	ARTN 	
CTCF 	ARTN 	
SIX5 	ARV1 	
BCL3 	ARVCF 	
CTCFL 	ARVCF 	
ETS1 	ARVCF 	
FOSL1 	ARVCF 	
GATA2 	ARVCF 	
HDAC2 	ARVCF 	
SIN3A 	ARVCF 	
SP1 	ARVCF 	
SP2 	ARVCF 	
ZBTB7A 	ARVCF 	
MYC 	ARVCF 	
FOS 	ARVCF 	
MYC 	ARVCF 	
MYC 	ARVCF 	
HMGN3 	ARVCF 	
IRF1 	ARVCF 	
MAFK 	ARVCF 	
NFYA 	ARVCF 	
NFYB 	ARVCF 	
SMC3 	ARVCF 	
STAT1 	ARVCF 	
TAL1 	ARVCF 	
XRCC4 	ARVCF 	
CTCF 	ARVCF 	
RAD21 	ASB6 	
CTCF 	ASB6 	
E2F6 	ASF1B 	
IRF1 	ASMTL 	
USF1 	ASNA1 	
NFYA 	ASNA1 	
NRF1 	ASNSD1 	
REST 	ASPHD1 	
NFYA 	ASPM 	
NFYB 	ASPM 	
ELF1 	ASPSCR1 	
ZBTB7A 	ASPSCR1 	
ZBTB33 	ASXL1 	
CHD2 	ASXL1 	
THAP1 	ATE1 	
YY1 	ATE1 	
YY1 	ATE1 	
ZBTB33 	ATF2 	
CHD2 	ATF2 	
CEBPB 	ATF3 	
JUN 	ATF3 	
GTF2B 	ATF3 	
GTF2B 	ATF4 	
GATA2 	ATF6B 	
IRF1 	ATF6B 	
TAL1 	ATF6B 	
CHD2 	ATF7 	
RAD21 	ATG16L1 	
SPI1 	ATG16L2 	
USF1 	ATG3 	
YY1 	ATG4B 	
YY1 	ATG4B 	
ELF1 	ATG4C 	
TAL1 	ATG4D 	
E2F6 	ATL3 	
MAX 	ATL3 	
MAX 	ATL3 	
CTCFL 	ATMIN 	
CTCF 	ATMIN 	
EGR1 	ATP11B 	
YY1 	ATP13A1 	
YY1 	ATP13A1 	
SP1 	ATP5B 	
SP2 	ATP5B 	
FOS 	ATP5B 	
NFYA 	ATP5B 	
CHD2 	ATP5C1 	
ETS1 	ATP5D 	
SIX5 	ATP5D 	
ZBTB7A 	ATP5D 	
ZBTB33 	ATP5F1 	
CHD2 	ATP5F1 	
FOS 	ATP5G1 	
JUND 	ATP5G1 	
NFYA 	ATP5G1 	
CTCFL 	ATP5G2 	
CTCF 	ATP5G2 	
CEBPB 	ATP5G2 	
CTCF 	ATP5I 	
SPI1 	ATP5J2 	
YY1 	ATP5J2 	
YY1 	ATP5J2 	
NRF1 	ATP5O 	
USF1 	ATP6V0B 	
ATF3 	ATP6V0B 	
MAX 	ATP6V0B 	
NFE2 	ATP6V0B 	
USF2 	ATP6V0B 	
ELF1 	ATP6V0D1 	
USF1 	ATP6V0D1 	
MAX 	ATP6V0D1 	
NFE2 	ATP6V0D1 	
USF2 	ATP6V0D1 	
USF1 	ATP6V0E1 	
GTF2B 	ATP6V0E2 	
REST 	ATP6V1B2 	
EGR1 	ATP6V1C1 	
USF1 	ATP6V1C1 	
USF1 	ATP6V1E1 	
NRF1 	ATP6V1F 	
TAL1 	ATP6V1F 	
USF1 	ATP6V1G1 	
NFE2 	ATP6V1G1 	
RAD21 	ATP6V1G2 	
CTCF 	ATP6V1G2 	
CTCF 	ATP6V1G2 	
USF1 	ATP6V1H 	
USF1 	ATPAF2 	
THAP1 	ATPBD4 	
FOS 	ATPIF1 	
NFYA 	ATPIF1 	
NFYB 	ATPIF1 	
ELF1 	ATR 	
EGR1 	ATXN2L 	
FOSL1 	ATXN7L2 	
YY1 	ATXN7L2 	
ELF1 	AURKA 	
CEBPB 	AURKA 	
GABPA 	AURKAIP1 	
SIX5 	AURKAIP1 	
E2F6 	AVEN 	
EGR1 	AVPI1 	
TAL1 	AVPR2 	
FOS 	AZI1 	
NFYB 	AZI1 	
EGR1 	B3GALNT2 	
CTCF 	B3GALNT2 	
ELF1 	B3GALT4 	
CCNT2 	B3GALT4 	
E2F6 	B3GALT6 	
ELF1 	B3GALT6 	
THAP1 	B3GALT6 	
USF1 	B3GALT6 	
YY1 	B3GALT6 	
YY1 	B3GALT6 	
GABPA 	B3GAT3 	
POLR3A 	B3GNT1 	
GTF2B 	B3GNT1 	
SRF 	B4GALT1 	
THAP1 	B4GALT3 	
YY1 	B9D2 	
YY1 	B9D2 	
YY1 	BAGE 	
MYC 	BAGE 	
MYC 	BAGE 	
MYC 	BAGE 	
MYC 	BAGE 	
YY1 	BAGE2 	
MYC 	BAGE2 	
MYC 	BAGE2 	
MYC 	BAGE2 	
MYC 	BAGE2 	
MYC 	BAGE2 	
YY1 	BAGE3 	
MYC 	BAGE3 	
MYC 	BAGE3 	
MYC 	BAGE3 	
MYC 	BAGE3 	
MYC 	BAGE3 	
YY1 	BAGE4 	
MYC 	BAGE4 	
MYC 	BAGE4 	
MYC 	BAGE4 	
MYC 	BAGE4 	
MYC 	BAGE4 	
YY1 	BAGE5 	
MYC 	BAGE5 	
MYC 	BAGE5 	
MYC 	BAGE5 	
