Isoform_ID	Interactor_Symbol
ZKSCAN4_1	ZNF446
ZKSCAN4_1	ZNF167
ZKSCAN4_1	ZNF397
ZKSCAN4_1	PGBD1
ZKSCAN4_1	ZNF496
ZKSCAN4_1	ZSCAN22
ZKSCAN4_1	ZKSCAN4
ZKSCAN4_3	MDM4
ZKSCAN4_3	ZSCAN20
ZKSCAN4_3	ZNF167
ZKSCAN4_3	ZNF397
ZKSCAN4_3	ZNF496
ZKSCAN4_3	ZNF483
ZKSCAN4_3	ZSCAN22
ZKSCAN4_3	ZKSCAN4	
