ATF3 	ANAPC2 	
EP300 	ANG 	
YY1 	ANGEL2 	
NRF1 	ANGEL2 	
EBF1 	ANGPTL6 	
EBF1 	ANGPTL6 	
PAX5 	ANGPTL6 	
PAX5 	ANGPTL6 	
TCF12 	ANGPTL6 	
EBF1 	ANGPTL6 	
REST 	ANK1 	
ZBTB33 	ANKFY1 	
BRCA1 	ANKFY1 	
CHD2 	ANKFY1 	
PBX3 	ANKHD1 	
SP1 	ANKHD1 	
FOS 	ANKHD1 	
PBX3 	ANKHD1-EIF4EBP3 	
SP1 	ANKHD1-EIF4EBP3 	
FOS 	ANKHD1-EIF4EBP3 	
PBX3 	ANKRD11 	
SP1 	ANKRD11 	
USF1 	ANKRD12 	
NFE2 	ANKRD12 	
USF2 	ANKRD12 	
EP300 	ANKRD13A 	
REST 	ANKRD13B 	
ZBTB33 	ANKRD13C 	
CHD2 	ANKRD13C 	
PBX3 	ANKRD16 	
SP1 	ANKRD16 	
CTCF 	ANKRD2 	
NRF1 	ANKRD26 	
PBX3 	ANKRD27 	
ATF3 	ANKRD30BL 	
BATF 	ANKRD30BL 	
BCL11A 	ANKRD30BL 	
BCL3 	ANKRD30BL 	
BCLAF1 	ANKRD30BL 	
EBF1 	ANKRD30BL 	
EBF1 	ANKRD30BL 	
EGR1 	ANKRD30BL 	
ETS1 	ANKRD30BL 	
IRF4 	ANKRD30BL 	
IRF4 	ANKRD30BL 	
MEF2C 	ANKRD30BL 	
REST 	ANKRD30BL 	
POU2F2 	ANKRD30BL 	
EP300 	ANKRD30BL 	
PAX5 	ANKRD30BL 	
PAX5 	ANKRD30BL 	
POU2F2 	ANKRD30BL 	
SPI1 	ANKRD30BL 	
RXRA 	ANKRD30BL 	
SRF 	ANKRD30BL 	
TCF12 	ANKRD30BL 	
ZBTB33 	ANKRD30BL 	
ZEB1 	ANKRD30BL 	
BRCA1 	ANKRD30BL 	
FOS 	ANKRD30BL 	
EBF1 	ANKRD30BL 	
KAT2A 	ANKRD30BL 	
IRF3 	ANKRD30BL 	
JUND 	ANKRD30BL 	
MAX 	ANKRD30BL 	
NFE2 	ANKRD30BL 	
NFKB1 	ANKRD30BL 	
NFKB1 	ANKRD30BL 	
NRF1 	ANKRD30BL 	
EP300 	ANKRD30BL 	
RAD21 	ANKRD30BL 	
RFX5 	ANKRD30BL 	
SMC3 	ANKRD30BL 	
FAM48A 	ANKRD30BL 	
STAT1 	ANKRD30BL 	
STAT3 	ANKRD30BL 	
NR2C2 	ANKRD30BL 	
USF2 	ANKRD30BL 	
WRNIP1 	ANKRD30BL 	
YY1 	ANKRD30BL 	
ZZZ3 	ANKRD30BL 	
CTCF 	ANKRD30BL 	
GABPA 	ANKRD32 	
RAD21 	ANKRD36B 	
EGR1 	ANKRD39 	
RAD21 	ANKRD39 	
SP1 	ANKRD39 	
FOS 	ANKRD39 	
CTCF 	ANKRD39 	
CTCF 	ANKRD46 	
CTCF 	ANKRD46 	
CTCF 	ANKRD46 	
PBX3 	ANKRD54 	
ZEB1 	ANKS1A 	
PBX3 	ANKZF1 	
PBX3 	ANP32A 	
FOS 	ANP32A 	
SP1 	ANP32E 	
FOS 	ANP32E 	
ZZZ3 	ANXA2 	
CTCF 	ANXA2P2 	
ELF1 	AP1S2 	
PBX3 	AP2A1 	
SP1 	AP2A1 	
FOS 	AP2A1 	
EGR1 	AP2A2 	
YY1 	AP2B1 	
EGR1 	AP2M1 	
SIX5 	AP2M1 	
ZNF143 	AP2M1 	
ETS1 	AP2S1 	
SIX5 	AP2S1 	
ZNF143 	AP2S1 	
PAX5 	AP3B1 	
PAX5 	AP3B1 	
NRF1 	AP3B1 	
REST 	AP3B2 	
BATF 	AP3M2 	
SP1 	AP3M2 	
FOS 	AP3M2 	
CTCF 	AP3M2 	
RAD21 	AP4B1 	
SRF 	AP4B1 	
CTCF 	AP4B1 	
ELF1 	AP4E1 	
RAD21 	AP4E1 	
CTCF 	AP4E1 	
PBX3 	AP4M1 	
USF1 	AP4M1 	
SIX5 	APBA3 	
NRF1 	APBA3 	
ZNF143 	APBA3 	
NRF1 	APBB3 	
USF1 	APC 	
NRF1 	APC 	
ATF3 	APEX1 	
USF1 	APEX1 	
FOS 	APEX1 	
MAX 	APEX1 	
NFE2 	APEX1 	
USF2 	APEX1 	
SIX5 	APLF 	
ZNF143 	APLF 	
NFE2 	APOB48R 	
SPI1 	APOBEC3B 	
RFX5 	APOC1 	
RFX5 	APOC1P1 	
RFX5 	APOE 	
PBX3 	APPL1 	
PAX5 	APRT 	
RFX5 	APTX 	
GABPA 	AQR 	
RFX5 	ARAP1 	
EGR1 	ARAP2 	
ZBTB33 	ARF3 	
BRCA1 	ARF3 	
CHD2 	ARF3 	
NRF1 	ARF4 	
USF1 	ARFGEF2 	
USF2 	ARFGEF2 	
ZEB1 	ARFIP2 	
ZNF143 	ARFRP1 	
SRF 	ARHGAP1 	
SRF 	ARHGAP1 	
FOS 	ARHGAP19 	
EBF1 	ARHGEF1 	
EBF1 	ARHGEF1 	
EGR1 	ARHGEF1 	
ELF1 	ARHGEF1 	
EBF1 	ARHGEF1 	
SPI1 	ARHGEF2 	
EBF1 	ARHGEF7 	
EBF1 	ARHGEF7 	
SP1 	ARID1A 	
BATF 	ARID3B 	
SP1 	ARID4A 	
FOS 	ARID4A 	
EBF1 	ARID5A 	
EGR1 	ARIH1 	
USF1 	ARL2 	
CTCF 	ARL2 	
CTCF 	ARL2 	
CTCF 	ARL2 	
EGR1 	ARL3 	
EBF1 	ARL6IP5 	
EBF1 	ARL6IP5 	
EBF1 	ARL6IP5 	
NFKB1 	ARL6IP5 	
CTCF 	ARL8B 	
CTCF 	ARL8B 	
NRF1 	ARMC6 	
USF1 	ARMC9 	
SP1 	ARNTL 	
FOS 	ARNTL 	
ELF1 	ARPC1A 	
ELF1 	ARPC3 	
SPI1 	ARPC3 	
RAD21 	ARPC3 	
CTCF 	ARPC3 	
CTCF 	ARPC3 	
MEF2A 	ARPC5L 	
EP300 	ARPM1 	
BATF 	ARSB 	
TCF12 	ARSG 	
NRF1 	ARSK 	
CTCF 	ARTN 	
SIX5 	ARV1 	
ZNF143 	ARV1 	
PBX3 	ARVCF 	
FOS 	ARVCF 	
EBF1 	ASAH1 	
BATF 	ASB2 	
CTCF 	ASB6 	
CTCF 	ASB6 	
CTCF 	ASB6 	
CTCF 	ASF1B 	
YY1 	ASMTL 	
RAD21 	ASNSD1 	
CTCF 	ASNSD1 	
NRF1 	ASNSD1 	
REST 	ASPHD1 	
SPI1 	ASPHD2 	
ELF1 	ASPSCR1 	
BCL11A 	ASTL 	
BCL3 	ASTL 	
POU2F2 	ASTL 	
PAX5 	ASTL 	
POU2F2 	ASTL 	
ZEB1 	ASTL 	
PBX3 	ASTN2 	
BATF 	ASXL1 	
ETS1 	ASXL1 	
SIX5 	ASXL1 	
ZBTB33 	ASXL1 	
BRCA1 	ASXL1 	
CHD2 	ASXL1 	
ZNF143 	ASXL1 	
