InteractorA	InteractorB
P94102	Q9XIR8
Q8GYF5	P59220
P30302	Q08733
Q9M844	P25854
Q9M7Q2	Q6NLQ6
EBI-2113581	Q9SAH7
Q8GY88	P59220
B4F7R9	P17839
Q93Z27	P25854
Q8RWQ8	Q03509
O80536	O80536
Q08467	P92973
Q9ZNR6	Q8L940
Q9LZP8	P25071
Q9M5K2	O23320
Q8LG64	P30187
Q39016	Q9ZSK4
Q9SZ03	P25854
Q8LG64	P59220
Q9FUD3	Q9S744
P49177	Q9FDX9
Q9FL03	Q9S744
Q9FGX2	Q03509
Q84WC8	P25854
Q9ZNV8	Q9C5U1
Q9SZ03	Q03509
Q9SSC7	P25854
P48349	Q9FK25
Q9SL70	P30187
EBI-1798351	Q9LN63
Q9LHE5	F4KCL7
Q9FHZ1	P25854
Q0V7X4	Q9M1K0
Q42479	Q9S744
Q9FMC2	P25854
O81126	P51567
Q39016	Q27GK5
Q9SL70	Q9S744
Q9FMC2	O23320
Q9SHC2	Q67XQ1
O82312	Q9LKF9
P59220	Q9FIK0
Q38906	O81283
Q9ZNV9	Q9C5U2
P22953	P25071
O80651	P25854
Q9FM69	P25854
Q9ZVM9	P59220
Q9LKA4	P25071
Q8H115	Q9FY93
Q8RYD9	Q03509
Q9LFU3	Q03509
P93024	P93024
Q9M9G6	Q8GUP1
Q9SND6	O23320
Q9ZNV8	Q9SHC2
Q5XXN8	P17839
Q39010	P59220
O04336	P59220
Q9FME9	P59220
Q8GY88	Q9S744
Q8H1E4	Q1EBV6
O23552	P30187
Q9M2K4	O23320
O23145	P25854
O04719	Q84JG2
O80719	Q39026
Q84WW1	P59220
Q9SVD7	Q93ZF6
Q7X9N2	P25854
O64682	Q9XF67
Q9LQ65	P25854
Q9XID3	P25071
Q8GZ99	P25071
Q8LAW2	P25854
EBI-2113588	Q9SK33
Q9LJ68	P25071
Q8RYD9	P30187
Q9SDB3	Q9S744
Q39140	P25854
Q56WN1	Q9ZUZ2
Q5S2C3	Q5S2C4
O49839	P30187
Q9LJL9	Q9S744
Q9S7W5	Q9FGW7
Q9ZPE4	P25854
Q8W234	O22456
Q9C562	P25071
Q42545	Q9LXJ0
Q29Q72	Q9S744
Q9M2K4	P25854
Q9FLV4	P25854
Q9LYL6	P25071
O81292	P25854
EBI-1798351	Q6BDA0
Q8VZW1	Q94AJ5
Q9LW66	P30187
Q8GYP4	P25854
P92978	Q9LR44
Q8GY11	Q03509
P46014	P47735
Q9LSI9	Q9S744
Q3MK94	Q8RWC9
Q8W490	P30187
O23144	P20649
O22932	O22932
Q9SP32	O04492
O81001	Q8L8A5
Q8L9Y3	Q9ZNV9
Q9SKN2	P25071
O65469	P25854
Q9LHI7	P30187
Q9FZ98	Q8VZW1
Q2V359	Q03509
Q9MAB4	P59220
P43298	P46014
Q9LYN8	Q6TLJ2
Q9SJX8	P25854
Q39050	P30187
Q93XM6	O23320
P43294	O23320
O22932	P19456
Q9LKA5	Q8W4P1
Q9LW66	P25854
Q9STX0	P25069
Q9LM15	Q8L765
Q8GXW1	Q9MAA7
Q9SSF8	O23320
Q38920	Q9LX33
Q9FMC2	P59220
Q9FKG1	Q39026
Q9C952	Q9LKF9
Q9CAJ0	Q8S8E3
O22265	P37107
D3K0M2	O23320
Q8VZK4	P59220
F4IAG2	F4IAG2
O80651	P59220
Q8VYG7	Q9S744
Q84WC8	Q03509
O80651	P30187
Q93XM6	Q03509
O65280	O22476
O23145	Q03509
Q43125	P43254
Q9LSF1	O80719
D3K0M2	P59220
O80536	P14713
Q9SGN7	P59220
EBI-1536293	Q8W1E3
Q8L9Y3	Q9ZNV8
Q9FGX2	O23320
Q7X9N2	Q03509
Q8GTS1	Q8LBK6
Q42479	O23320
Q7G8V2	Q9SSW0
Q9SKN2	O23320
Q8GYP4	Q03509
Q8LGA1	Q9LZ78
P25071	C0LGH4
Q9FMC2	Q9S744
Q93V58	Q38997
O81292	P59220
