InteractorA	InteractorB
P15891	P53933
P89105	P27692
P32897	Q02776
Q02724	Q12306
EBI-10957299	P33322
P80667	P53112
P39015	P33203
P06367	P43582
P07236	EBI-12557172
Q08412	P38182
P0CF34	P25374
P32835	P40069
P53183	P39940
P43603	P36531
Q03162	Q07963
P34758	Q04439
P39523	P40075
P30952	P53076
Q00684	Q03898
EBI-10824938	EBI-10054797
P0CG63	P33299
P13393	P32774
P11710	Q03508
EBI-2864202	P38291
P38266	P32793
P47068	P38870
Q03067	P50102
Q01389	Q04439
P32485	Q01477
Q02630	Q05166
Q03944	Q04439
P48837	P49687
P38720	P40318
P38753	Q12168
P38081	P39940
P40217	P40318
Q02630	P48837
Q08444	P40318
P80210	Q08409
P25652	P43603
P36123	P43603
P00331	P39940
P40959	P43603
P47043	P43603
P29311	P32356
Q12298	P33203
Q06106	EBI-10903441
P34164	P46995
P38009	Q06525
P0CG63	P21147
P00817	P22696
P48837	P52891
EBI-11704896	Q12211
Q12163	Q03497
P53010	P36102
P21242	P46995
P39940	Q12472
Q01560	P39940
P0CG63	P40989
P11914	P10507
P01094	P07267
P53933	P80667
Q02629	Q06142
P0CF34	P40989
P43603	Q12211
Q08409	P00925
P0CG63	P26783
Q12451	P36006
P0CG63	P08518
P38998	P39940
P40563	P47068
P11747	Q12030
Q02629	P48837
P38283	P24869
P47027	P14737
P47068	P53345
P0CG63	P04449
P40073	Q06412
P38879	P15731
P22213	Q01590
P35202	P39940
P11710	Q03897
P25694	P36037
P36037	Q01477
EBI-11701334	Q12400
Q06604	P39743
P39743	P15891
P40465	Q12318
P40454	P43582
P0CG63	P43593
P40217	Q04067
P23542	P33203
Q03465	Q03162
P0CG63	P10591
P0CG63	P23638
P39015	P46995
EBI-11703618	P38205
P53845	Q92331
Q02783	Q02783
Q12164	P32793
Q00684	P08153
P52286	P24814
P49723	P43582
P38081	P46995
P32447	P39940
P11792	P40059
P00925	P33203
Q08465	P61830
P53864	P43582
P15303	P20606
P36102	P04147
Q04439	Q04439
P32797	P00546
P14359	P39940
P39928	Q07688
P34164	P39940
P31374	P43603
P10507	P11914
P53093	P38815
Q04491	P40318
P00445	P40202
P0CG63	P06782
P53323	P36132
EBI-12517763	P38205
P00817	Q08409
Q05580	P15891
P15646	EBI-10921918
Q10740	P39940
P47035	P24869
P38081	Q06525
P43583	Q03790
P47075	Q06449
P49095	P38753
P16892	P06784
P20095	P22696
P08018	P40073
Q01846	P40073
P30952	P43582
P38090	P43603
P32381	P22696
EBI-11705578	P53759
P32419	P43582
EBI-12515937	Q12383
P40568	P40073
P0CG63	Q02753
P49686	P49686
P15891	Q03796
P48837	Q02629
P80667	Q03497
Q12383	EBI-12515937
P10566	P39743
P32589	P10591
P0CG63	P40069
Q04439	P32521
P08524	P40318
Q06706	P38874
Q06205	P61830
P53901	P39743
P0CG63	P25297
P53281	P53933
P40217	P39940
EBI-11704038	Q12211
P53051	Q06525
P34252	P47027
Q12046	P32523
P10591	P17157
P32614	P46995
P49686	Q06142
P0CG63	P02407
P80210	P43582
P21524	Q04964
P0CG63	P30822
P06701	P11978
P32524	Q07350
P37254	P33203
P0CG63	P53909
P34222	P32628
Q08273	Q12018
P40073	P39081
P53933	P43603
P38081	P43582
P30952	P39940
P11938	P29539
P38879	P22515
P47128	Q08465
EBI-10860871	Q08647
P40325	P43603
P53933	P32793
P38987	P38785
P09938	P09938
P40357	P38163
Q02630	P49686
P28496	P38703
P36049	P47069
Q12510	P43603
P53125	P53281
P38886	P48510
P15891	P32793
P53973	P53973
Q12365	P39969
P53265	P43582
Q06706	Q02908
P04819	P15891
EBI-11701622	P38205
P38758	P40318
P46680	P33203
