InteractorA	InteractorB
P15873	Q03834
P46151	P33203
P40513	P40318
P32499	P39705
P53281	P47075
Q08968	P33203
P53101	P39940
P41816	P40318
P46655	P40318
Q06604	P38041
P11710	P40073
P47128	P35189
Q03558	P33203
P29468	Q03735
Q05979	P43582
Q03162	P06104
P47137	P22696
Q05080	P25604
Q03497	P19073
P53839	P22696
P40450	P36006
P40217	P33203
Q03957	P46962
P16892	P32917
P30952	Q08409
Q12154	Q12154
P0CG63	P48164
P32448	P40073
P43603	P53933
P47093	P40070
P36102	P36006
P36006	P39955
P36057	P32916
P40563	Q12163
Q12745	P53847
P43603	Q04322
Q06063	EBI-11705717
Q07505	P39940
P0CG63	P09435
P0CG63	P54780
P0CG63	P22202
P35203	P17106
Q12298	Q06525
Q01560	P38074
P36140	Q06525
P16120	P40318
P40089	P47017
P80667	P38090
P39081	P25299
P32829	P12753
P16661	P11710
P38753	P40494
P0CG63	P16474
P61830	Q06205
Q02629	P34077
P0CG63	P32478
P47137	P39940
P10963	Q06525
P0CG63	P16521
Q08446	P02829
P53153	P53281
P04821	P53318
P0CF34	P50076
P53051	P22696
P22696	Q06593
Q04991	P43603
P40825	P39940
P47037	P32908
P38753	P40453
P40558	P52920
Q02630	Q02630
P32897	P39515
P06738	P43582
Q06508	P33203
P47017	P40089
P32499	P38181
P29295	Q12292
P38090	P32793
P33891	P28791
P36019	P22696
Q01560	P33203
P25605	P07342
P0CG63	P00560
P10591	P32589
Q02767	Q06696
P0CF34	P43614
P53281	Q08172
Q05080	P53901
P32381	P39940
Q02630	P53011
P39743	Q06833
P53735	Q04439
P43582	Q12326
Q02629	Q99257
P40073	P42884
Q12362	EBI-11701537
P06367	P46995
P32381	P43582
Q08641	EBI-12518732
P06103	P06103
Q05080	P40453
Q12344	P39743
Q12510	P32793
P27692	P53064
Q12365	P39743
Q05080	P53933
P48837	P48837
P11353	P46995
P25441	P38041
P53145	P15891
Q06142	P32499
P41807	P33203
P36006	P38128
P49723	P49723
P53839	P43582
Q12499	P15646
P32361	Q05924
Q07549	P39940
Q03780	P38041
P06738	Q06525
P39683	Q06525
P38822	Q08989
Q06449	P43585
P53933	P32790
P15019	Q06525
Q08109	Q08109
P39940	P28321
P17967	P39940
P36006	P53933
P38132	P24279
P00925	P39940
P53159	Q12365
Q05775	P22696
Q03010	P39940
P47068	P22082
EBI-2864202	P53218
P80667	P25604
P14681	P06784
P16451	P16451
P40073	P40563
P15891	P40494
P40089	Q06406
P0CG63	P02829
P53861	Q03071
Q12168	P39743
P53145	P04821
P32855	P39743
Q08412	P32793
P53051	P39940
P53874	P22696
P43582	Q12162
P0CG63	P38243
Q01454	P39940
P40494	P40073
P53064	P27692
P32523	P32523
P47029	P39940
Q04322	Q12344
P49686	Q02630
Q06833	P47068
Q06169	P33203
P61830	Q08465
P43603	P38870
P33399	P43582
P80210	Q06525
Q12446	P43603
P38158	P39940
P53847	Q12745
P15274	P22696
P39015	Q06525
Q02629	Q02629
P32366	P17255
EBI-11683887	P53072
P48563	P38817
P38289	P43603
P37254	Q06525
EBI-11710314	EBI-11703304
P53750	P04821
Q12162	P39940
Q08873	P15891
P39718	P29340
P32580	P39112
Q03770	P11710
P06367	P33203
Q02629	P52891
P25345	P33203
Q04336	P33203
P0CG63	P25694
P40961	P50085
P17106	P32504
Q06604	P32793
P43603	P32855
P53944	P30775
P27637	P27637
P12945	P10664
Q06524	P40073
Q12163	P40563
P40187	P40073
P38158	P22696
P53267	P53168
P47142	Q04272
Q99359	P47037
P49723	P33203
Q08686	Q08409
P22141	P40303
P36068	Q08409
P48837	Q02199
P0CG63	P38998
